2020-02-02,0.0
2020-02-09,1.5
2020-02-16,1.0
2020-02-23,3.5
2020-03-01,4.0
2020-03-08,10.5
2020-03-15,29.5
2020-03-22,41.0
2020-03-29,60.0
2020-04-05,59.5
2020-04-12,47.0
2020-04-19,38.5
2020-04-26,35.5
2020-05-03,37.5
2020-05-10,38.0
2020-05-17,36.0
2020-05-24,32.5
2020-05-31,23.5
2020-06-07,27.0
2020-06-14,47.0
2020-06-21,78.0
2020-06-28,79.0
2020-07-05,69.5
2020-07-12,74.5
2020-07-19,61.5
2020-07-26,51.5
2020-08-02,42.5
2020-08-09,40.0
2020-08-16,33.5
2020-08-23,29.0
2020-08-30,27.0
2020-09-06,26.5
2020-09-13,26.0
2020-09-20,23.5
2020-09-27,34.0
2020-10-04,31.0
2020-10-11,30.5
2020-10-18,26.0
2020-10-25,32.0
2020-11-01,20.0
2020-11-08,30.5
2020-11-15,40.0
2020-11-22,36.5
2020-11-29,33.5
2020-12-06,34.0
2020-12-13,38.0
2020-12-20,37.5
2020-12-27,42.5
2021-01-03,44.5
2021-01-10,41.5
2021-01-17,45.5
2021-01-24,44.0
2021-01-31,39.5
2021-02-07,36.0
2021-02-14,31.0
2021-02-21,29.5
2021-02-28,37.5
2021-03-07,38.0
2021-03-14,33.0
2021-03-21,33.5
2021-03-28,33.5
2021-04-04,33.0
2021-04-11,27.0
2021-04-18,26.0
2021-04-25,32.0
2021-05-02,30.5
2021-05-09,28.0
2021-05-16,26.0
2021-05-23,23.0
2021-05-30,15.5
2021-06-06,15.5
2021-06-13,14.0
2021-06-20,12.0
2021-06-27,14.0
2021-07-04,13.5
2021-07-11,18.5
2021-07-18,30.5
2021-07-25,58.5
2021-08-01,65.5
2021-08-08,63.0
2021-08-15,59.5
2021-08-22,58.5
2021-08-29,50.0
2021-09-05,36.0
2021-09-12,28.0
2021-09-19,24.0
2021-09-26,20.0
2021-10-03,18.0
2021-10-10,15.5
2021-10-17,13.0
2021-10-24,16.0
2021-10-31,14.0
2021-11-07,14.0
2021-11-14,15.0
2021-11-21,15.5
2021-11-28,19.0
2021-12-05,17.0
2021-12-12,24.0
2021-12-19,48.5
2021-12-26,66.0
2022-01-02,67.5
2022-01-09,56.0
2022-01-16,52.5
2022-01-23,26.5
2022-01-30,23.0
2022-02-06,19.0
2022-02-13,15.5
2022-02-20,16.0
2022-02-27,16.0
2022-03-06,13.0
2022-03-13,13.0
2022-03-20,10.0
2022-03-27,10.0
2022-04-03,11.0
2022-04-10,14.0
2022-04-17,17.0
2022-04-24,12.5
2022-05-01,10.5
2022-05-08,13.0
2022-05-15,14.0
2022-05-22,15.5
2022-05-29,14.5
2022-06-05,13.5
2022-06-12,15.5
2022-06-19,12.0
2022-06-26,12.0
2022-07-03,14.0
2022-07-10,14.0
2022-07-17,17.5
2022-07-24,12.0
2022-07-31,11.5
2022-08-07,10.0
2022-08-14,9.5
2022-08-21,7.5
2022-08-28,8.0
2022-09-04,6.5
2022-09-11,7.5
2022-09-18,5.5
2022-09-25,5.5
